symbol,disease,panel,panel_name,evidence_level
EEF2K,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HLA-A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HMGB1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HSPA1B,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HSPA5,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HSPA8,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PWAR4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IGFBP2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR137,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR21,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR212,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR29B1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MEF2C,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MMP2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MMP14,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR342,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MSMB,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MYCL,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ATM,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NEDD9,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NTSR1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
P4HB,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PRKN,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NME8,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IL23A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PECAM1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CALML5,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PLTP,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TREM1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
POU5F1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SAMD9,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MAPK10,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PSPN,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
LGMN,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HTRA1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PSPH,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PTBP1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PTEN,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NDRG2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PTPN1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HAMP,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PTPRC,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
BCYRN1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR455,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
POU5F1P3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
POU5F1P4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
RTN4R,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SLC2A1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SLC2A3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SPTBN1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
STXBP3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SYN1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SYT1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PRDX2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TGM2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TIMP1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SERPING1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CLDN5,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TRPM2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
VIM,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
XRCC1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
DDR1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
RAB7A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PLA2G7,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SLC52A2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
LIN28A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TP63,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CBS,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
APLN,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
KALRN,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
F2RL3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NTN1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ROCK2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ADAMTS2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CD59,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PRRT2,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
LY6E,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
NIF3L1,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
BDNF,Dystonia,DisGeNET,Dystonia (DisGeNET),NA
LINC01672,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
ERVK-18,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
OPN1MW3,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
LRPPRC,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
LOC102723407,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
LOC102724971,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
PADI2,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
CCR7,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
C9orf72,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
ALCAM,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
PADI4,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
OPN1MW,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
RGCC,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
CD274,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
GSTM1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
HFE,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
HLA-DRB3,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
HPRT1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IFNAR2,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IL6ST,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
IRF1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
KIR2DS1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
MIR145,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
MIR21,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
MTR,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
NFKB1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
NGF,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
NR4A2,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
P2RX4,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
PIK3CG,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
MOK,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
HNRNPA1P10,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
OPN1MW2,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
UCP2,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
WAS,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
LINGO1,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
TNFSF13,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
KL,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
CD47,Multiple Sclerosis,DisGeNET,Multiple Sclerosis (DisGeNET),NA
SIGMAR1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TOMM40,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ACOT7,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GSTO2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NMS,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CST3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RMDN2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CYP1A1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ZFPM1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DRD4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CHMP2B,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GLA,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
GSTM2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
AGFG1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ACTBL2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
AQP4,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CHCHD10,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR221,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR34B,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MMP9,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
POTEKP,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
COX2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NQO2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NNMT,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NTF3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
NTS,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RMDN1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SYBU,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MIR433,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
REST,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
RPS27A,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
POTEM,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
STAT3,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TBP,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ACTG1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
ACTG2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CCR2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
UBC,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
TFEB,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
PPP1R2C,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
BECN1,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
SUCLA2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CCK,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
FHL5,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
CLOCK,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
DNAJC6,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
MFN2,Parkinson Disease,DisGeNET,Parkinson Disease (DisGeNET),NA
COMT,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
DYRK1A,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
NLGN1,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
CADM1,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
GRM7,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
HTC2,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
IL1A,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
PRKN,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
PIK3CB,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
PIK3CD,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
PIK3CG,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
TGFB1,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
CACNA1C,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
CACNA1D,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
TBL1XR1,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
CARS1,Autism Spectrum Disorders,DisGeNET,Autism Spectrum Disorders (DisGeNET),NA
C20orf181,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
OPTN,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CEBPZ,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CDKN2A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CDR2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PLK2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HPSE,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
RAB10,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MMP24,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ADCYAP1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
COL11A2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ADM,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ADORA2A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
C1orf52,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ADRA2B,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CYP2B6,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CYP2C9,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
GRK2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CD55,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
DAO,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
DCX,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
DDIT3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
DIO2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
DRD1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
DRD4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
AGTR2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
EIF4E,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ELK3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
GGA3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CRTC1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
FOLH1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SRRM2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
FXN,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MS4A6E,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ALOX15,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
FNDC5,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
GAD1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
GBA,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
DISC1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NEAT1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
GPT,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
REM1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
GZMB,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
UBE2K,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HNRNPA1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
APBB2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HSPA9,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HSPB2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HTR1F,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HTR4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
APOA4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IFNA1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IFNA13,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
APOC3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
LRRTM3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
KLK3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IL9,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
AQP1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
IDO1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ITGAX,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ITPR3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
LGALS3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
LIPA,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
LRP6,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ARNTL,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR106B,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR142,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR222,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR29B2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MFGE8,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MELTF,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MGAT3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MS,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ND2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MTR,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ATF4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NUBP1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NFATC2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NOTCH3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NPTX2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NR4A2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MIR424,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
P2RY2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PRDX1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
HSPA14,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PDE4D,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PDE9A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PDGFRB,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PDK1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PLD1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TLR9,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
POLB,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
POMC,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PPY,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
FAM20C,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ACKR3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MCOLN1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SEMA6A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
STIM2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CIP2A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
PTPN4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
BCL2A1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
RENBP,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ATXN1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CCL5,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SRR,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CXCL12,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
LRRC4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
ABCG4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SELENOP,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SH3GL2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SI,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
WNK1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
BMP4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SLC18A2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SLC18A3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SRPK2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SSTR4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
BSG,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TBP,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
C2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TRPC6,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
UGCG,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NR1H2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
VGF,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
XPNPEP1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
SLC30A3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CXCR4,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
FTO,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
MMEL1,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
TREML2,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
NANOG,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
COASY,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CALM3,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
CAMK2A,Alzheimer's Disease,DisGeNET,Alzheimer's Disease (DisGeNET),NA
